2017-06-06 09:34:19,603 [Worker-244] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 09:34:19,607 [Worker-244] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:34:19,609 [Worker-244] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 09:34:33,331 [Worker-239] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:34:33,334 [Worker-239] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 09:34:33,337 [Worker-239] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:34:33,339 [Worker-239] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 09:36:34,741 [Worker-243] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:36:34,745 [Worker-243] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 09:36:34,748 [Worker-243] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:36:34,750 [Worker-243] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 09:36:44,694 [Worker-245] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:36:44,697 [Worker-245] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
